"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"CD63",8.11380064031779e-124,-0.331148955111755,0.093,0.282,1.50016060038836e-119,"0","CD63"
"TYROBP",3.91692631408478e-107,-0.535856635981678,0.13,0.305,7.24200506211135e-103,"0","TYROBP"
"DYNLL1",3.09643767737095e-106,-0.330463332598738,0.14,0.313,5.72500362169114e-102,"0","DYNLL1"
"TYMP",6.57224332833834e-104,-0.270671603370049,0.097,0.266,1.21514206897648e-99,"0","TYMP"
"CLIC1",6.38498695636368e-103,-0.296238577434422,0.141,0.312,1.18052023836208e-98,"0","CLIC1"
"POMP",1.18815746722938e-101,-0.451697169094845,0.207,0.369,2.1967843411604e-97,"0","POMP"
"HLA-DRA",1.35687954234221e-101,-0.55314462781706,0.157,0.325,2.50873458583651e-97,"0","HLA-DRA"
"TXN",4.02756308227313e-101,-0.618046116277279,0.266,0.419,7.4465613828148e-97,"0","TXN"
"SRGN",2.79984087136817e-100,-0.345821731176083,0.18,0.346,5.17662578707261e-96,"0","SRGN"
"POLR2L",4.74356609258594e-98,-0.400480978752738,0.229,0.387,8.77037934858214e-94,"0","POLR2L"
"PRDX1",1.16319635606052e-96,-0.382608969417557,0.161,0.321,2.1506337427203e-92,"0","PRDX1"
"GSTP1",6.22641845520104e-96,-0.369712669570497,0.191,0.349,1.15120250818212e-91,"0","GSTP1"
"FCER1G",2.35171865716146e-95,-0.501571493364173,0.125,0.286,4.34809262522582e-91,"0","FCER1G"
"SEC61B",1.02353883627957e-92,-0.364563174076444,0.17,0.327,1.89242095439731e-88,"0","SEC61B"
"NFKBIA",1.75770298757622e-92,-0.289638675201299,0.1,0.258,3.24981705372967e-88,"0","NFKBIA"
"PSME2",3.98590698696558e-92,-0.49326989671538,0.279,0.423,7.36954342820066e-88,"0","PSME2"
"HLA-DRB1",4.26270183238717e-91,-0.436397692503099,0.09,0.242,7.88130941790063e-87,"0","HLA-DRB1"
"MYL6",6.95351717689157e-91,-0.465668744416148,0.505,0.583,1.28563579083548e-86,"0","MYL6"
"NKG7",1.31850135051941e-90,-0.317783420954363,0.098,0.252,2.43777714697533e-86,"0","NKG7"
"GPX1",2.85228304411412e-89,-0.31079933332545,0.117,0.27,5.27358612026259e-85,"0","GPX1"
"MRPL23",6.42682563825615e-88,-0.273570795302522,0.094,0.245,1.18825579225718e-83,"0","MRPL23"
"COX17",1.99863335423397e-87,-0.321329472271452,0.141,0.294,3.69527320864319e-83,"0","COX17"
"NME1",2.9783411943508e-87,-0.381747757877729,0.102,0.252,5.50665503423519e-83,"0","NME1"
"CALR",1.14956723550532e-85,-0.283960280815244,0.115,0.264,2.12543486172579e-81,"0","CALR"
"DBI",3.31024946003635e-84,-0.289019826164622,0.157,0.308,6.1203202266612e-80,"0","DBI"
"RAC1",5.37094746649767e-84,-0.25192135401267,0.11,0.258,9.93034477080755e-80,"0","RAC1"
"PSMB3",1.19795945178175e-83,-0.344939159532739,0.184,0.331,2.21490723039927e-79,"0","PSMB3"
"LGALS1",8.0623216576321e-83,-0.388260561685581,0.095,0.239,1.4906426512796e-78,"0","LGALS1"
"NOP10",9.05153208911715e-83,-0.346111472294755,0.176,0.323,1.67353776795687e-78,"0","NOP10"
"CCL3",1.06396062703274e-82,-0.830078637566414,0.254,0.405,1.96715680332083e-78,"0","CCL3"
"ARPC3",1.29492600928716e-82,-0.30646196140489,0.249,0.388,2.39418869857102e-78,"0","ARPC3"
"EIF5A",1.45183648617684e-82,-0.438861516937489,0.14,0.288,2.68430047929235e-78,"0","EIF5A"
"PKM",1.55760001858893e-82,-0.355155256893067,0.222,0.364,2.87984667436907e-78,"0","PKM"
"ARPC2",1.00281460297915e-81,-0.341767331927012,0.27,0.406,1.85410391944814e-77,"0","ARPC2"
"NPC2",1.13402812963885e-81,-0.310796722962384,0.097,0.241,2.09670460888927e-77,"0","NPC2"
"EIF5AL1",1.27669750436402e-81,-0.313773094845696,0.052,0.185,2.36048601581864e-77,"0","EIF5AL1"
"SHFM1",1.76237723999098e-81,-0.319384484975592,0.176,0.321,3.25845927901932e-77,"0","SHFM1"
"SOD2",2.61227128239115e-81,-0.47145162960365,0.126,0.273,4.82982837401299e-77,"0","SOD2"
"GNG5",2.93446601730013e-81,-0.272502416903364,0.137,0.283,5.42553421938622e-77,"0","GNG5"
"PSMA4",3.0459871388212e-81,-0.268917319745163,0.11,0.255,5.63172562096653e-77,"0","PSMA4"
"MRPL52",5.87425430253448e-81,-0.278473199597375,0.111,0.256,1.0860908779956e-76,"0","MRPL52"
"OAZ1",7.42344439994784e-81,-0.441159402999256,0.418,0.515,1.37252063510636e-76,"0","OAZ1"
"UBE2L3",7.56356083699218e-81,-0.250006018366843,0.106,0.251,1.39842676315148e-76,"0","UBE2L3"
"ATP5J",8.43650602218696e-81,-0.349207925825251,0.194,0.339,1.55982559844215e-76,"0","ATP5J"
"COX8A",1.06720895077792e-80,-0.279112113107674,0.151,0.296,1.9731626290933e-76,"0","COX8A"
"NDUFS6",1.61185210514813e-80,-0.282005005447704,0.115,0.259,2.98015335720837e-76,"0","NDUFS6"
"EMP3",2.57885120946352e-80,-0.331322319354412,0.271,0.407,4.76803800117711e-76,"0","EMP3"
"COX6A1P2",8.01218304427747e-80,-0.294916556810942,0.132,0.275,1.48137252305646e-75,"0","COX6A1P2"
"NDUFA13",2.22224855968426e-79,-0.34368917899553,0.234,0.371,4.10871536200023e-75,"0","NDUFA13"
"NME1-NME2",3.18357469872147e-79,-0.477685676039037,0.157,0.297,5.88611126046613e-75,"0","NME1-NME2"
"PRELID1",3.94610209364008e-79,-0.288864593951556,0.142,0.286,7.29594816093115e-75,"0","PRELID1"
"DDX21",5.74758449231343e-79,-0.385722547685716,0.117,0.258,1.06267089678383e-74,"0","DDX21"
"SEC61G",1.72270967218236e-78,-0.35372336142551,0.207,0.346,3.18511791289797e-74,"0","SEC61G"
"TPM3",1.0130078182966e-77,-0.312866123201741,0.207,0.347,1.87295015524859e-73,"0","TPM3"
"UBB",2.49187521034806e-77,-0.369528335330997,0.334,0.456,4.60722807641252e-73,"0","UBB"
"UQCRQ",1.29417750729826e-76,-0.438812982710437,0.273,0.401,2.39280479324376e-72,"0","UQCRQ"
"HSP90B1",4.1553545441024e-76,-0.275917510903666,0.158,0.299,7.68283501659094e-72,"0","HSP90B1"
"RBM8A",5.43294561450676e-76,-0.369771035565728,0.179,0.318,1.00449731466616e-71,"0","RBM8A"
"S100A11",6.62871804949182e-76,-0.383909952874066,0.226,0.362,1.22558368017054e-71,"0","S100A11"
"COX7B",7.29161675682107e-76,-0.353909260855663,0.225,0.359,1.34814702216865e-71,"0","COX7B"
"ATP5J2",1.34901250384142e-75,-0.3452241644767,0.236,0.37,2.4941892183524e-71,"0","ATP5J2"
"COX5A",2.46880399524614e-75,-0.294142149555825,0.132,0.271,4.56457170681059e-71,"0","COX5A"
"SNRPG",2.74393037980531e-75,-0.480566328933705,0.262,0.389,5.07325287922203e-71,"0","SNRPG"
"S100A9",3.3091232093969e-75,-0.690026957293276,0.125,0.263,6.11823790185393e-71,"0","S100A9"
"LAMTOR5",3.59755389805844e-75,-0.255724228233429,0.138,0.279,6.65151740212026e-71,"0","LAMTOR5"
"SLIRP",7.05678497082617e-75,-0.407578086807269,0.17,0.307,1.30472897325605e-70,"0","SLIRP"
"FABP5",1.50693487491289e-74,-0.528513063938717,0.158,0.294,2.78617189022645e-70,"0","FABP5"
"NDUFAB1",1.08074178476342e-73,-0.292785696331846,0.123,0.26,1.99818348584909e-69,"0","NDUFAB1"
"IL2RA",3.06470448931819e-73,-0.367538835104875,0.111,0.245,5.66633213030039e-69,"0","IL2RA"
"TUBA1B",6.8962571978632e-73,-0.495294866441661,0.306,0.422,1.27504899331293e-68,"0","TUBA1B"
"GNLY",9.22478439749564e-73,-0.397050145677138,0.13,0.271,1.70557038725297e-68,"0","GNLY"
"TCEB1",1.2257921740755e-72,-0.255788198459962,0.098,0.23,2.2663671506482e-68,"0","TCEB1"
"NDUFA11",1.28238896518783e-72,-0.255011900186203,0.142,0.279,2.37100895773578e-68,"0","NDUFA11"
"HLA-DPA1",1.99667692506269e-72,-0.287738968267136,0.09,0.221,3.69165596674841e-68,"0","HLA-DPA1"
"HNRNPAB",2.19337711691581e-72,-0.284075797304982,0.086,0.216,4.05533495146563e-68,"0","HNRNPAB"
"RPL22L1",1.041170870684e-71,-0.286998519672923,0.09,0.221,1.92502082280765e-67,"0","RPL22L1"
"PSMB6",2.32130909515025e-71,-0.258789301399775,0.126,0.261,4.29186838602329e-67,"0","PSMB6"
"MINOS1",2.63091031249271e-71,-0.296003777267016,0.167,0.303,4.86429007676777e-67,"0","MINOS1"
"S100A8",6.76052540553768e-71,-0.773014592712961,0.198,0.336,1.24995354222986e-66,"0","S100A8"
"DNAJA1",1.49025647106846e-70,-0.253848272407407,0.109,0.242,2.75533518935848e-66,"0","DNAJA1"
"ATP5G1",4.30858140397371e-70,-0.28110325713895,0.124,0.257,7.966136157807e-66,"0","ATP5G1"
"USMG5",7.23909309200424e-70,-0.415649548968419,0.274,0.395,1.33843592178066e-65,"0","USMG5"
"PGAM1",9.26212654149013e-70,-0.29128842347718,0.125,0.257,1.71247457625611e-65,"0","PGAM1"
"CYBA",9.51063741461062e-70,-0.400316379511033,0.453,0.528,1.75842175158736e-65,"0","CYBA"
"HNRNPA2B1",2.01925342764907e-69,-0.319790526141366,0.236,0.364,3.73339766238037e-65,"0","HNRNPA2B1"
"S100A6",2.20600283060178e-69,-0.476466969838744,0.359,0.461,4.07867863349962e-65,"0","S100A6"
"ACTG1",4.48422827839746e-69,-0.447589705356401,0.362,0.467,8.29088966392906e-65,"0","ACTG1"
"PARK7",4.73252466365879e-69,-0.300257743402693,0.197,0.33,8.74996485063873e-65,"0","PARK7"
"UBL5",5.67583649417547e-69,-0.327694980959181,0.304,0.422,1.0494054094081e-64,"0","UBL5"
"CSTB",6.16995148133691e-69,-0.315436417328224,0.16,0.292,1.14076232938438e-64,"0","CSTB"
"EIF4A1",1.86144291930703e-68,-0.449809442171514,0.342,0.449,3.44162181350677e-64,"0","EIF4A1"
"TCEB2",5.22545484279633e-68,-0.379961160405829,0.354,0.455,9.66134345884613e-64,"0","TCEB2"
"COX6A1",6.63332838325991e-68,-0.339026265913202,0.226,0.35,1.22643608478093e-63,"0","COX6A1"
"RBX1",1.02823459666734e-67,-0.311951223613857,0.224,0.35,1.90110294577825e-63,"0","RBX1"
"SAT1",1.03045509935432e-67,-0.29144524241886,0.16,0.293,1.9052084331962e-63,"0","SAT1"
"ATP5G3",1.79006335729186e-67,-0.369822171211546,0.189,0.317,3.30964814129692e-63,"0","ATP5G3"
"TIMM13",1.85781119083931e-67,-0.281181925538424,0.122,0.251,3.43490711074281e-63,"0","TIMM13"
"SNRPD1",1.00982829425923e-66,-0.38201166677889,0.162,0.289,1.86707153325589e-62,"0","SNRPD1"
"PPIB",1.14796480475411e-66,-0.277061850651315,0.185,0.314,2.12247212750987e-62,"0","PPIB"
"PSMA7",2.60970654322695e-66,-0.424373868027807,0.249,0.367,4.82508642777232e-62,"0","PSMA7"
"SRSF3",4.70988569133411e-66,-0.285839161810437,0.155,0.284,8.70810765470764e-62,"0","SRSF3"
"MIR155HG",5.25008671688087e-66,-0.328820462648315,0.096,0.22,9.70688533084103e-62,"0","MIR155HG"
"EIF2S2",5.38595661509629e-66,-0.380431419093257,0.201,0.326,9.95809518565154e-62,"0","EIF2S2"
"SUB1",5.40562853314479e-66,-0.405461563471318,0.269,0.385,9.99446659493141e-62,"0","SUB1"
"SNRPE",5.66721571155047e-66,-0.435406124152962,0.211,0.336,1.04781151290857e-61,"0","SNRPE"
"HSP90AA1",9.83996965797202e-66,-0.619734694657174,0.353,0.449,1.81931199006245e-61,"0","HSP90AA1"
"SERBP1",1.53009463284943e-65,-0.52365497588264,0.22,0.341,2.82899196667532e-61,"0","SERBP1"
"TUBB",2.8145869638402e-65,-0.345509925588551,0.205,0.33,5.20388983744415e-61,"0","TUBB"
"SLC25A5",7.0834372111554e-65,-0.343857197565833,0.18,0.308,1.30965670597052e-60,"0","SLC25A5"
"H3F3B",1.10584002872055e-64,-0.439346694757859,0.479,0.547,2.04458762910142e-60,"0","H3F3B"
"PSMB8",1.21109491185803e-64,-0.251464174637404,0.161,0.29,2.23919338253431e-60,"0","PSMB8"
"GAPDH",2.27000031025285e-64,-0.691390630013988,0.545,0.585,4.19700357362649e-60,"0","GAPDH"
"SNRPB",7.76595792421253e-64,-0.291685543851626,0.147,0.273,1.43584796060765e-59,"0","SNRPB"
"LYZ",8.81555088354891e-64,-0.543363446555226,0.095,0.216,1.62990720285936e-59,"0","LYZ"
"RANBP1",8.93351535941806e-64,-0.369912253184872,0.15,0.274,1.6517176548028e-59,"0","RANBP1"
"HLA-DPB1",1.14826210152409e-63,-0.252197359584429,0.088,0.209,2.1230217995079e-59,"0","HLA-DPB1"
"PSMB1",1.22842654642208e-63,-0.323617152755352,0.213,0.335,2.27123784167978e-59,"0","PSMB1"
"GADD45GIP1",1.58590695538563e-63,-0.259282161661656,0.137,0.262,2.93218336981249e-59,"0","GADD45GIP1"
"CYCS",2.52906534038972e-63,-0.36655952842081,0.164,0.288,4.67598890784656e-59,"0","CYCS"
"HSPE1",6.31347094672617e-63,-0.623775660959726,0.317,0.425,1.1672976433402e-58,"0","HSPE1"
"HNRNPM",6.49142380052357e-63,-0.34758642152008,0.186,0.307,1.2001993464788e-58,"0","HNRNPM"
"TPI1",7.75593270012111e-63,-0.415113452683018,0.309,0.417,1.43399439692539e-58,"0","TPI1"
"AIF1",1.04163701831151e-62,-0.375699062462725,0.118,0.239,1.92588268315616e-58,"0","AIF1"
"NDUFB2",2.25166782300343e-62,-0.289659081770101,0.207,0.329,4.16310863795104e-58,"0","NDUFB2"
"CTSS",3.31520478568255e-62,-0.253312144125243,0.081,0.198,6.12948212824848e-58,"0","CTSS"
"CCT6A",1.00947666639778e-61,-0.255715211856074,0.093,0.212,1.86642140850286e-57,"0","CCT6A"
"SH3BGRL3",1.17018775601173e-61,-0.376155532402093,0.375,0.464,2.16356014209008e-57,"0","SH3BGRL3"
"TOMM5",2.50672386342448e-61,-0.303548211489874,0.117,0.237,4.63468175108551e-57,"0","TOMM5"
"EIF3J",4.19584949341452e-61,-0.302876017765288,0.127,0.248,7.75770612837411e-57,"0","EIF3J"
"TIMP1",4.81890823547025e-61,-0.293124808439134,0.086,0.203,8.90967943656094e-57,"0","TIMP1"
"YWHAB",7.3071598007741e-61,-0.255698382584703,0.196,0.319,1.35102077556512e-56,"0","YWHAB"
"SERF2",1.22920029133079e-60,-0.440527220317565,0.603,0.615,2.2726684186415e-56,"0","SERF2"
"ENO1",2.58460629426641e-60,-0.498977319928859,0.368,0.46,4.77867857746917e-56,"0","ENO1"
"NHP2",3.12371221316125e-60,-0.299648940081351,0.136,0.255,5.77543151091384e-56,"0","NHP2"
"CD74",1.8929804681185e-59,-0.486930696230623,0.482,0.528,3.4999315875043e-55,"0","CD74"
"SRM",2.04474186443985e-59,-0.283524699798524,0.112,0.229,3.78052323316285e-55,"0","SRM"
"SNRPF",3.20541666575229e-59,-0.367142216148338,0.18,0.297,5.92649487330941e-55,"0","SNRPF"
"NEAT1",5.83828836918396e-59,-0.263866967562692,0.263,0.381,1.07944113657842e-54,"0","NEAT1"
"PSME1",1.75842080410127e-58,-0.402604502720673,0.38,0.467,3.25114422470284e-54,"0","PSME1"
"SSBP1",1.8317856117889e-58,-0.303943063810377,0.168,0.287,3.3867884176365e-54,"0","SSBP1"
"H3F3A",1.83830436388632e-58,-0.314331998077431,0.345,0.443,3.39884093838942e-54,"0","H3F3A"
"HSPD1",2.38885905455554e-58,-0.442210806592248,0.199,0.314,4.41676150596774e-54,"0","HSPD1"
"MT1X",4.14174935068829e-58,-0.272933116160777,0.095,0.208,7.65768037448758e-54,"0","MT1X"
"NHP2L1",5.18958972953543e-58,-0.319658704269331,0.181,0.3,9.59503245093806e-54,"0","NHP2L1"
"PSMB9",5.86646948974503e-58,-0.268282123592595,0.229,0.346,1.08465154395896e-53,"0","PSMB9"
"PPA1",9.42449362297936e-58,-0.323305304511456,0.14,0.255,1.74249462595265e-53,"0","PPA1"
"CHCHD2",1.2595583311487e-57,-0.475900802073219,0.34,0.432,2.32879739846082e-53,"0","CHCHD2"
"LTA",1.56887127840122e-57,-0.33806419369521,0.123,0.241,2.90068610663601e-53,"0","LTA"
"COX6B1",3.19651694318127e-57,-0.34386245439257,0.343,0.437,5.91004017624784e-53,"0","COX6B1"
"NDUFA1",4.36479997201343e-57,-0.269516621147239,0.266,0.376,8.07007866825563e-53,"0","NDUFA1"
"ERH",4.52360372640486e-57,-0.293211186797829,0.178,0.293,8.36369092974994e-53,"0","ERH"
"CALM2",5.0207397109959e-57,-0.341091694298141,0.324,0.419,9.28284565166033e-53,"0","CALM2"
"TNFRSF4",8.70120655650328e-57,-0.254962589454295,0.05,0.152,1.60876608023189e-52,"0","TNFRSF4"
"COX7A2",2.27808743857948e-56,-0.382692422351186,0.348,0.438,4.2119558651896e-52,"0","COX7A2"
"NDUFV2",3.05689399261518e-56,-0.256774479197212,0.153,0.269,5.6518913029462e-52,"0","NDUFV2"
"CCL4",3.91732253212272e-56,-0.776715763858795,0.249,0.368,7.2427376296417e-52,"0","CCL4"
"NDUFA4",4.52662830338602e-56,-0.371360115711712,0.331,0.424,8.36928307013041e-52,"0","NDUFA4"
"LSM7",5.38150301445619e-56,-0.268095091937362,0.169,0.285,9.94986092342805e-52,"0","LSM7"
"ALDOA",7.57432056361526e-56,-0.369348495275456,0.343,0.438,1.40041612900683e-51,"0","ALDOA"
"SET",7.74600977473973e-56,-0.425888452921145,0.257,0.365,1.43215974725163e-51,"0","SET"
"IFNG",8.19311181848395e-56,-0.70606410472592,0.22,0.341,1.5148244441195e-51,"0","IFNG"
"H2AFZ",1.02444922071256e-55,-0.322799265202219,0.2,0.315,1.89410416417546e-51,"0","H2AFZ"
"CORO1A",3.46704186649841e-55,-0.276674319364533,0.237,0.35,6.41021370696892e-51,"0","CORO1A"
"LDHA",5.18073269014939e-55,-0.394673390254036,0.272,0.379,9.57865667081722e-51,"0","LDHA"
"TMEM258",1.16104437465785e-54,-0.310123421535625,0.28,0.381,2.14665494430489e-50,"0","TMEM258"
"ATP5I",1.78568747282498e-54,-0.357879384451441,0.368,0.458,3.30155756850611e-50,"0","ATP5I"
"HNRNPDL",3.51424230351726e-53,-0.257447905153872,0.221,0.333,6.49748259497307e-49,"0","HNRNPDL"
"CFL1",3.79052015082614e-53,-0.414560494704793,0.458,0.512,7.00829270686245e-49,"0","CFL1"
"UQCR10",3.7979918562839e-53,-0.270847680971053,0.233,0.342,7.0221071430833e-49,"0","UQCR10"
"PA2G4",9.92552425545101e-53,-0.423063532339779,0.211,0.317,1.83513017959034e-48,"0","PA2G4"
"HNRNPC",1.0791617277893e-52,-0.288187631743074,0.209,0.318,1.99526211850964e-48,"0","HNRNPC"
"SUMO2",1.74046289384941e-52,-0.291490538042389,0.223,0.332,3.21794184443817e-48,"0","SUMO2"
"EIF5B",2.42187425272971e-52,-0.330751560252183,0.194,0.302,4.47780330587197e-48,"0","EIF5B"
"C1QBP",4.77965371877279e-52,-0.361760857688766,0.204,0.312,8.83710176063902e-48,"0","C1QBP"
"RAN",7.73460640737748e-52,-0.474279738202705,0.314,0.41,1.43005137866002e-47,"0","RAN"
"MRPL20",1.17156931204227e-51,-0.271623530593141,0.16,0.269,2.16611450103495e-47,"0","MRPL20"
"HMGN2",2.1858095819121e-51,-0.274251734069514,0.229,0.339,4.04134333599727e-47,"0","HMGN2"
"COX5B",4.48744708042918e-51,-0.270079843429779,0.273,0.376,8.29684090700551e-47,"0","COX5B"
"HMGN1",1.53440329779468e-50,-0.280682689886551,0.189,0.298,2.83695825729259e-46,"0","HMGN1"
"NDUFA3",1.60003775217733e-50,-0.250462465090953,0.263,0.367,2.95830980000067e-46,"0","NDUFA3"
"ATP5D",2.46929607732403e-50,-0.272295082350303,0.216,0.322,4.56548151736441e-46,"0","ATP5D"
"MT-ND5",1.91890364098831e-48,-0.327609591826786,0.387,0.464,3.54786094182328e-44,"0","MT-ND5"
"YBX1",5.2878031708486e-48,-0.558887019744273,0.417,0.474,9.77661928258198e-44,"0","YBX1"
"PFDN2",6.35954211025386e-48,-0.256195380715705,0.134,0.238,1.17581574076484e-43,"0","PFDN2"
"S100A4",2.96291784536954e-47,-0.371316722480566,0.211,0.316,5.47813880430374e-43,"0","S100A4"
"CCL2",4.07817443258387e-47,-0.56268364964704,0.139,0.246,7.54013670840432e-43,"0","CCL2"
"MT2A",1.45453756147962e-46,-0.491470083024013,0.235,0.337,2.68929449741968e-42,"0","MT2A"
"NCL",5.07761391207068e-46,-0.556706905468924,0.351,0.426,9.38800036202747e-42,"0","NCL"
"TRMT112",1.33718469072751e-45,-0.308782310799086,0.247,0.343,2.4723207746861e-41,"0","TRMT112"
"METAP2",2.25741237776257e-45,-0.254340980308662,0.144,0.245,4.17372974524521e-41,"0","METAP2"
"COX6C",3.78446484753457e-45,-0.317062252570742,0.348,0.431,6.99709705660667e-41,"0","COX6C"
"CBX3",5.60152636659225e-45,-0.321583591062266,0.213,0.31,1.03566620991924e-40,"0","CBX3"
"HSP90AB1",1.26416276051342e-43,-0.686378072077265,0.482,0.513,2.33731052791326e-39,"0","HSP90AB1"
"HSPA8",3.62047580372398e-42,-0.382386594252759,0.373,0.438,6.69389771350526e-38,"0","HSPA8"
"UQCRH",5.99596111562884e-42,-0.275036057243248,0.231,0.324,1.10859325066862e-37,"0","UQCRH"
"MT-ND1",6.11828356482592e-42,-0.357480977829736,0.551,0.575,1.13120944830066e-37,"0","MT-ND1"
"ATP5E",2.30806233634678e-41,-0.446688721099039,0.641,0.618,4.26737645367155e-37,"0","ATP5E"
"APRT",3.70179830298401e-41,-0.316153340692315,0.286,0.37,6.84425488238713e-37,"0","APRT"
"IL8",3.70589369067816e-40,-0.548533570579345,0.163,0.263,6.85182684469485e-36,"0","IL8"
"C14orf2",7.91313326517155e-40,-0.28982889143628,0.322,0.398,1.46305920939757e-35,"0","C14orf2"
"TBCA",6.10425357310512e-39,-0.273859167586738,0.254,0.34,1.12861544313141e-34,"0","TBCA"
"SLC25A6",1.20699553506684e-38,-0.306284566313534,0.318,0.394,2.23161404478508e-34,"0","SLC25A6"
"IL1B",2.19568809555645e-38,-0.423536845743231,0.082,0.169,4.05960771987432e-34,"0","IL1B"
"HMGB1",1.66076504766061e-37,-0.38082300118929,0.388,0.45,3.0705884966197e-33,"0","HMGB1"
"NDUFS5",2.55097611434958e-37,-0.274182047614325,0.285,0.366,4.71649973782094e-33,"0","NDUFS5"
"SRP14",1.23820278298885e-36,-0.36339620058558,0.447,0.486,2.28931312546809e-32,"0","SRP14"
"PFN1",2.15156488975611e-36,-0.539029994195355,0.701,0.648,3.97802832467007e-32,"0","PFN1"
"MT-CO1",3.20592263065644e-36,-0.383919730263981,0.834,0.739,5.92743035182069e-32,"0","MT-CO1"
"MT-ATP6",5.41008178335453e-36,-0.352206077310109,0.687,0.651,1.00027002092442e-31,"0","MT-ATP6"
"HLA-A",6.60767248494975e-36,-0.346432965306188,0.653,0.627,1.22169256574236e-31,"0","HLA-A"
"PPIA",7.43354539370305e-36,-0.434271157508713,0.474,0.506,1.37438820784176e-31,"0","PPIA"
"CALM1",9.67235557707612e-36,-0.266244018727671,0.297,0.372,1.7883218226456e-31,"0","CALM1"
"RPS29",5.34331683144657e-35,-0.250104753495195,0.987,0.867,9.87925848966156e-31,"0","RPS29"
"MIF",1.0774769643116e-34,-0.629040272228901,0.45,0.483,1.99214715931571e-30,"0","MIF"
"HNRNPA1",2.56339148901903e-34,-0.409540564367696,0.441,0.484,4.73945452404728e-30,"0","HNRNPA1"
"FTH1",5.78972718180923e-34,-0.821371302226759,0.884,0.819,1.07046265864471e-29,"0","FTH1"
"HLA-B",4.3547800446393e-32,-0.391451837330493,0.748,0.67,8.0515528245336e-28,"0","HLA-B"
"CXCL1",3.96992370036092e-31,-0.353460114649275,0.085,0.161,7.3399919295973e-27,"0","CXCL1"
"RPS18",1.95964070782327e-28,-0.371154529770385,0.982,0.864,3.62317970469444e-24,"0","RPS18"
"RPL39",1.49796257423098e-26,-0.281892704922422,0.956,0.758,2.76958300349566e-22,"0","RPL39"
"MT-CO2",2.17903037728766e-26,-0.420309916536697,0.888,0.765,4.02880926456715e-22,"0","MT-CO2"
"HIST1H4C",2.36489437293364e-26,-0.259824532996825,0.149,0.221,4.37245320611701e-22,"0","HIST1H4C"
"MT-ND4",6.28844139422314e-26,-0.368722399925563,0.748,0.671,1.16266992937792e-21,"0","MT-ND4"
"RPS6",2.30020037202363e-24,-0.308884145574942,0.954,0.782,4.25284046783449e-20,"0","RPS6"
"OST4",6.75713153028185e-24,-0.270265096006347,0.457,0.48,1.24932604863381e-19,"0","OST4"
"HLA-C",1.43410783628947e-23,-0.306028478146599,0.637,0.602,2.6515219785156e-19,"0","HLA-C"
"ATP5L",5.98300638222466e-23,-0.331505274984028,0.519,0.524,1.10619805000952e-18,"0","ATP5L"
"EIF1",1.26969921879322e-22,-0.397788623087485,0.653,0.604,2.34754688562679e-18,"0","EIF1"
"RPL23A",2.11842501339511e-22,-0.260296423516287,0.942,0.748,3.91675600726623e-18,"0","RPL23A"
"NAP1L1",3.93088100958568e-22,-0.275194529432903,0.296,0.346,7.26780589862296e-18,"0","NAP1L1"
"RPS25",6.71135255810055e-22,-0.264916390760021,0.928,0.731,1.24086197446721e-17,"0","RPS25"
"RPL36",1.06580937744131e-21,-0.308398649477755,0.959,0.799,1.97057495795124e-17,"0","RPL36"
"SNRPD2",1.72152119418303e-21,-0.277424994633113,0.383,0.421,3.182920535925e-17,"0","SNRPD2"
"RPS27A",6.07171579228569e-21,-0.270656530359379,0.963,0.79,1.1225995328357e-16,"0","RPS27A"
"RPL35A",2.07777186722544e-20,-0.26817969615086,0.937,0.759,3.84159240531312e-16,"0","RPL35A"
"CD2",5.854916808244e-20,-0.250249391921771,0.227,0.281,1.08251556867623e-15,"0","CD2"
"RPLP2",9.93100627219989e-20,-0.295903642804883,0.958,0.798,1.83614374966704e-15,"0","RPLP2"
"ACTB",3.10211842177165e-19,-0.620187236365394,0.892,0.742,5.73550675001361e-15,"0","ACTB"
"RPL13A",3.29369362891691e-19,-0.32376547098709,0.972,0.81,6.08971015050447e-15,"0","RPL13A"
"RPS28",1.27288685870111e-17,-0.291246372064646,0.959,0.8,2.35344051305247e-13,"0","RPS28"
"FTL",1.80100250880502e-17,-0.877113657537076,0.879,0.767,3.32987353852961e-13,"0","FTL"
"RPL7",2.25937338618329e-17,-0.318901438437933,0.935,0.74,4.17735545371428e-13,"0","RPL7"
"RPS4X",2.3062723213221e-17,-0.267425544759815,0.925,0.744,4.26406689489243e-13,"0","RPS4X"
"RPS12",7.00220814516743e-17,-0.358962240902513,0.951,0.78,1.29463826396001e-12,"0","RPS12"
"RPL11",9.38962410244295e-17,-0.27106607852442,0.942,0.768,1.73604760030068e-12,"0","RPL11"
"TMSB10",1.61218346667503e-16,-0.549578807918422,0.916,0.797,2.98076601153547e-12,"0","TMSB10"
"NBEAL1",3.45563588470768e-16,-0.268164495362284,0.801,0.592,6.38912518723603e-12,"0","NBEAL1"
"RPL12",3.68485937031751e-16,-0.296162218419816,0.897,0.705,6.81293648978004e-12,"0","RPL12"
"MT-ND2",1.07501197296374e-15,-0.294189267243555,0.677,0.624,1.98758963681266e-11,"0","MT-ND2"
"RPS3A",3.56773656321541e-15,-0.287140299796459,0.896,0.722,6.59638813172897e-11,"0","RPS3A"
