"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"TIMP1.7",7.83156890933259e-40,-0.323044365339588,0.034,0.197,1.4479787756465e-35,"12","TIMP1"
"IL8.9",2.06744755196495e-39,-0.589749046670562,0.083,0.26,3.82250377882799e-35,"12","IL8"
"AURKAIP1.6",6.5866702736272e-39,-0.252331462115988,0.055,0.222,1.21780946689093e-34,"12","AURKAIP1"
"DUT.7",3.98706662142103e-36,-0.27541036920335,0.032,0.183,7.37168747634535e-32,"12","DUT"
"LTA.9",4.48301014463053e-36,-0.360100142549536,0.072,0.235,8.28863745640739e-32,"12","LTA"
"CCL2.10",7.06371606110162e-36,-0.5843066917995,0.077,0.241,1.30601046253708e-31,"12","CCL2"
"NOP56.6",7.92619574791313e-36,-0.251011351226705,0.039,0.191,1.46547433183166e-31,"12","NOP56"
"MIR155HG.9",2.81665864449724e-35,-0.342599084244374,0.057,0.213,5.20772016781094e-31,"12","MIR155HG"
"IFNG.10",3.25360212077373e-35,-0.717883069051897,0.164,0.335,6.01558496109855e-31,"12","IFNG"
"S100A9.11",6.51153480119135e-32,-0.676127315725624,0.103,0.255,1.20391766939227e-27,"12","S100A9"
"RPL39L.8",1.63225338385897e-30,-0.331510456028969,0.013,0.135,3.01787328141684e-26,"12","RPL39L"
"IL2RA.9",8.14818374156998e-27,-0.354342932848769,0.102,0.236,1.50651769197887e-22,"12","IL2RA"
"IL1B.8",1.57175021074107e-26,-0.434503364467137,0.042,0.165,2.90600896463916e-22,"12","IL1B"
"CXCL1.7",6.7598346450117e-22,-0.365481740198229,0.049,0.157,1.24982582751621e-17,"12","CXCL1"
"C15orf48.3",3.13049270466909e-19,-0.250454909608155,0.018,0.103,5.78796796166268e-15,"12","C15orf48"
"TUBA1B.10",3.54076557039644e-32,-0.490954489909708,0.266,0.415,6.54652146310598e-28,"13","TUBA1B"
"FABP5.11",1.33375923283905e-30,-0.515801782803378,0.131,0.286,2.46598744559613e-26,"13","FABP5"
"EIF5AL1.10",2.17701692131752e-29,-0.30564804942582,0.041,0.177,4.02508658582396e-25,"13","EIF5AL1"
"TYROBP.11",8.10569842911542e-29,-0.490624362018858,0.143,0.292,1.49866258255915e-24,"13","TYROBP"
"CD63.9",9.5743426012697e-29,-0.291030581544694,0.121,0.268,1.77020020354876e-24,"13","CD63"
"EIF5A.10",1.04233523309839e-28,-0.420391703779564,0.129,0.278,1.92717361247561e-24,"13","EIF5A"
"COX17.10",7.23401733308643e-28,-0.303363722407078,0.137,0.284,1.33749746471435e-23,"13","COX17"
"PSMB3.10",6.24016249060322e-27,-0.32993164287915,0.182,0.321,1.15374364288763e-22,"13","PSMB3"
"NME1.10",2.31508411278909e-26,-0.354943608380494,0.104,0.241,4.28035901613574e-22,"13","NME1"
"NDUFS6.9",3.40570834878265e-26,-0.269899287970004,0.112,0.25,6.29681416606425e-22,"13","NDUFS6"
